Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,GiaMoCua,GiaCaoNhat,GiaThapNhat,symbol,ThayDoi_Gia,ThayDoi_PhanTram,EMA_20,RSI_14
2018-03-22,15.39,60.1,1264760,76797000000,61.0,61.4,60.1,FPT,-0.9,-1.48,60.1,100.0
2018-03-23,15.01,58.6,2833670,166805000000,59.0,59.6,58.0,FPT,-1.5,-2.5,59.95714285714286,0.0
2018-03-26,15.16,59.2,940840,55520000000,58.6,59.4,58.6,FPT,0.6,1.02,59.88503401360545,2.985074626865682
2018-03-27,15.24,59.5,993260,59166000000,59.9,60.1,59.0,FPT,0.3,0.51,59.84836410754779,4.5197740112994325
2018-03-28,15.09,58.9,660440,39015000000,59.1,59.4,58.8,FPT,-0.6,-1.01,59.75804371635276,4.37084979406572
2018-03-29,15.24,59.5,827280,49159000000,59.4,59.7,59.0,FPT,0.6,1.02,59.73346812431916,7.647877913692881
2018-03-30,15.55,60.7,2434830,147494000000,59.6,61.3,59.4,FPT,1.2,2.02,59.8255187791459,13.995699590400974
2018-04-02,15.75,61.5,2194820,134741000000,61.5,61.7,61.0,FPT,0.8,1.32,59.984993181132005,18.04026451510859
2018-04-03,15.68,61.2,1140770,69756000000,61.2,61.4,60.9,FPT,-0.3,-0.49,60.10070811626229,17.70403194566842
2018-04-04,15.8,61.7,2297950,142974000000,62.0,62.8,61.6,FPT,0.5,0.82,60.253021628999214,20.367934248758303
2018-04-05,16.14,63.0,2874100,180113000000,62.0,63.7,61.5,FPT,1.3,2.11,60.514638616713576,26.98562038923906
2018-04-06,16.06,62.7,3614250,229879000000,64.2,64.3,62.7,FPT,-0.3,-0.48,60.72276827226466,26.439566998675787
2018-04-09,16.24,63.4,1502210,94944000000,62.6,63.6,62.6,FPT,0.7,1.12,60.97774272252517,29.99890322303837
2018-04-10,16.5,64.4,4490010,288889000000,63.6,65.2,63.5,FPT,1.0,1.58,61.303671987046584,34.84881356181364
2018-04-11,16.14,63.0,3296390,211332000000,64.8,65.4,63.0,FPT,-1.4,-2.17,61.46522703589929,31.55286528660544
2018-04-12,16.29,63.6,1321110,83240000000,63.0,63.6,62.1,FPT,0.6,0.95,61.668538746766025,34.415724642833254
2018-04-13,15.88,62.0,2146710,134418000000,63.9,63.9,62.0,FPT,-1.6,-2.52,61.700106485169265,30.725163851635543
2018-04-16,15.65,61.1,1181050,72484000000,62.0,62.4,60.9,FPT,-0.9,-1.45,61.64295348658171,28.85101633431853
2018-04-17,15.88,62.0,1105060,67906000000,61.5,62.0,60.9,FPT,0.9,1.47,61.67695791643107,33.23665015147276
2018-04-18,15.88,62.0,1247240,77845000000,62.3,62.9,61.9,FPT,0.0,0.0,61.707723829151924,33.23665015147276
2018-04-19,15.55,60.7,2377390,145381000000,62.0,62.1,60.7,FPT,-1.3,-2.1,61.611750131137455,30.12584302834854
2018-04-20,15.7,61.3,972550,59339000000,61.0,61.5,60.3,FPT,0.6,0.99,61.58205964245769,33.23195481574402
2018-04-23,14.86,58.0,1461440,87388000000,61.3,61.7,57.2,FPT,-3.3,-5.38,61.24091110508077,26.30570920037951
2018-04-24,14.45,56.4,1850860,106251000000,57.4,58.5,56.1,FPT,-1.6,-2.76,60.779871952215935,23.72392859558073
2018-04-26,14.09,55.0,2031810,114319000000,56.9,57.7,55.0,FPT,-1.4,-2.48,60.2294079567668,21.715603738318848
2018-04-27,14.6,57.0,1597710,89772000000,55.0,57.4,54.9,FPT,2.0,3.64,59.92184529421758,30.736293133205592
2018-05-02,14.6,57.0,1370180,78688000000,57.0,58.0,56.8,FPT,0.0,0.0,59.64357431381591,30.736293133205592
2018-05-03,14.86,58.0,2162850,122965000000,56.8,58.0,55.7,FPT,1.0,1.75,59.487043426785824,35.07458370183552
2018-05-04,15.06,58.8,1171180,68652000000,58.5,59.0,58.2,FPT,0.8,1.38,59.42161071947289,38.39870903602978
2018-05-07,15.27,59.6,878040,51850000000,58.8,59.6,58.6,FPT,0.8,1.36,59.438600174761184,41.617761630132456
2018-05-08,15.11,59.0,1114210,65904000000,59.2,59.6,58.8,FPT,-0.6,-1.01,59.39682872954584,39.932338501184276
2018-05-09,14.96,58.4,1004740,58942000000,58.6,59.1,58.1,FPT,-0.6,-1.02,59.301892660065285,38.26355413790967
2018-05-10,14.93,58.3,1546130,90789000000,58.4,59.4,58.0,FPT,-0.1,-0.17,59.20647431148764,37.97868276503105
